,ABCB1,ABCC1,ABCC10,ABCC3,ABCC4,ABCC5,BCL2L1,CASP3,ERCC1,ERCC2,FASLG,GGH,GSTM3,GSTP1,MSH2,MTHFR,RALBP1,SLC19A1,SLC22A1,SOD1,TOP2A,label,cohort
GSM2331341,8.354720786324732,8.124922906909521,7.521317171051706,7.494384349807525,7.449745946031005,7.735748405881006,8.16563614877768,9.333228606013426,7.732158444034619,8.0641347996809,6.388537305138919,10.927315890374928,9.152998659462698,12.073702521268157,8.515009585929098,7.150342999207718,8.860667986066765,7.404429821875662,6.617860475185112,13.413509264509337,11.319510688756536,0,GSE87437
GSM2331342,7.551739092204904,7.070143333910387,8.052986934384082,7.128742958869718,7.777820202662739,8.254605917526325,8.230916775809765,9.050073404115292,8.393563387771275,7.840672886104927,5.784328878111,10.714389710368913,9.366090019779875,12.097103841708464,8.502116293628339,7.2705686009006785,8.920425580094985,7.635839985252792,4.387350925430626,13.354219303570618,11.272043440965454,1,GSE87437
GSM2331343,6.743630983626714,7.356337937044768,8.140711045218197,7.442314935933119,7.501517081745067,7.990208676649837,8.176188330442999,9.173692311201089,8.353096278709588,8.017940836918251,5.399818567577509,10.45249533753002,8.69070602716983,12.092742636815238,8.69981904562133,7.3659193317938705,8.834239720355459,7.387075480731157,7.84437607487859,13.523959824917668,11.372647482117312,0,GSE87437
GSM2331344,6.162190295268985,8.02497880129654,7.958085442141222,7.246512601485951,8.043672413436342,8.487534987559002,8.328538752289608,8.801279089413345,7.952504736136874,8.048402485657402,6.970360561639225,10.35930749455623,9.124036341002345,12.709460076900454,8.396120727125735,7.514543546799705,8.855939637876306,7.521601802134506,8.101720747268049,13.796001504283025,10.540260183192386,0,GSE87437
GSM2331345,8.006136028990714,7.999310017140345,8.232136406476375,7.716336990058865,7.695111160157529,8.328455100210883,8.297526426118266,8.819659312748799,8.966760629475429,8.128172799031837,6.43771831159087,8.853126402983138,7.319630914205315,12.058080462760044,7.545037654062544,7.436127097415942,9.02972003358892,7.414344147961052,6.938778816647733,12.48239989839542,9.847782966574815,1,GSE87437
GSM2331346,6.327224584568285,7.107426070681991,7.443771838992525,6.735770406581052,7.12033162871538,8.538717202867458,8.231681659734582,8.929431783806079,8.697967429658421,8.21054001906922,6.0578288456643365,10.899548546789978,9.17186911747601,11.912853308639102,8.972021779434504,7.523845657042358,8.652122106797606,7.322448818498635,4.827231492221949,12.938902747647395,10.935314871041047,1,GSE87437
GSM2331347,6.016896575623001,8.430742756093894,8.386428627971416,7.365842207761019,7.897333107001634,8.368353408514116,8.446398558195279,8.89339467673299,9.027265854057353,8.39583977864113,7.103311037348664,10.07584162176762,6.888650495029051,12.85118111109045,8.290181598889749,7.151095823842597,8.899378628264353,7.491790009615286,6.036314238817326,14.030210644953442,10.812892516309471,0,GSE87437
GSM2331348,6.513382679068321,8.389959769143479,8.428224036868148,7.446026381294704,7.757169491334711,8.439968440262689,8.461300557538179,9.013213243003667,8.941628668046581,8.273738281490392,7.740330331434638,10.149170202642477,7.391906653328747,12.634819034708576,8.584346265056364,7.157079046211577,8.800514518969578,7.496478043727056,6.713973622995105,13.862610598896833,10.827813084091623,1,GSE87437
GSM2331349,6.925007006637765,8.450454922927337,9.719070647211304,8.080422704545802,7.552307137286897,8.73634192299564,8.464931501059848,8.762118933915016,8.24184999305182,7.778555611697091,6.532387224039965,9.568090194474197,7.835655138743855,11.870143383111875,7.273312084745784,7.727121747342534,8.958046524330626,7.616821571339888,8.635096988373554,12.155989259836122,9.848901654598304,0,GSE87437
GSM2331350,5.893465547823461,8.663645419145576,8.22172943845138,7.415694512571157,7.911634800855809,8.499253282234308,8.416780843586455,9.341907991135797,9.12125179983999,8.419140228460261,5.3926632260317495,9.582818986999095,8.744037583546604,11.529703367308564,7.989356791154941,7.469160528692628,8.78686476596975,7.601657718825313,5.574984671114019,12.483489207319312,9.58186320635988,1,GSE87437
